MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 09:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 09:00
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),22-08-2025 09:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 08:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 08:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 08:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 08:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 07:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),22-08-2025 07:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 06:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 06:00
10010803683,000000000022208324,0.0010,Active Import Interval (kWh),22-08-2025 05:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 05:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 05:00
10010803683,000000000022208324,0.1260,Active Import Interval (kWh),22-08-2025 05:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 04:30
10010803683,000000000022208324,0.1160,Active Import Interval (kWh),22-08-2025 04:30
10010803683,000000000022208324,1.1700,Active Import Interval (kWh),22-08-2025 04:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 04:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 03:30
10010803683,000000000022208324,1.2580,Active Import Interval (kWh),22-08-2025 03:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 03:00
10010803683,000000000022208324,1.2540,Active Import Interval (kWh),22-08-2025 03:00
10010803683,000000000022208324,1.4050,Active Import Interval (kWh),22-08-2025 02:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 02:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 02:00
10010803683,000000000022208324,0.1640,Active Import Interval (kWh),22-08-2025 02:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 01:30
10010803683,000000000022208324,0.1650,Active Import Interval (kWh),22-08-2025 01:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 01:00
10010803683,000000000022208324,0.1690,Active Import Interval (kWh),22-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 00:30
10010803683,000000000022208324,0.2060,Active Import Interval (kWh),22-08-2025 00:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 22:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),21-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 21:30
10010803683,000000000022208324,0.0060,Active Import Interval (kWh),21-08-2025 21:30
10010803683,000000000022208324,0.0080,Active Export Interval (kWh),21-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 20:30
10010803683,000000000022208324,0.0220,Active Export Interval (kWh),21-08-2025 20:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 20:00
10010803683,000000000022208324,0.2270,Active Export Interval (kWh),21-08-2025 20:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 19:30
10010803683,000000000022208324,0.4360,Active Export Interval (kWh),21-08-2025 19:30
10010803683,000000000022208324,0.4180,Active Export Interval (kWh),21-08-2025 19:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 19:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 18:30
10010803683,000000000022208324,0.5010,Active Export Interval (kWh),21-08-2025 18:30
10010803683,000000000022208324,0.5980,Active Export Interval (kWh),21-08-2025 18:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 18:00
10010803683,000000000022208324,0.9860,Active Export Interval (kWh),21-08-2025 17:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 17:30
10010803683,000000000022208324,0.9050,Active Export Interval (kWh),21-08-2025 17:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 17:00
10010803683,000000000022208324,1.1170,Active Export Interval (kWh),21-08-2025 16:30
